species,geo_distance,env_distance,phylo_distance
Aethia psittacula,10453805.947003523,5.132011700436822,165.6114997226528
Aethia pusilla,10357348.999538343,5.122609559503909,165.6117060912973
Aethia pygmaea,10379101.32638353,5.069473743448642,165.6114997226528
Aethopyga bella,10470933.703127965,4.103664419344677,130.18418914805181
Aethopyga boltoni,10537492.948972655,5.649646173316182,130.18578409107602
Aethopyga christinae,10293573.059681015,3.0725952765061364,130.1777072881667
Aethopyga duyvenbodei,10542587.724469878,9.082427450398953,130.1889318416638
Aethopyga eximia,10526940.459291471,4.983998649566577,130.22320457309084
Aethopyga flagrans,10471335.375463728,3.392827897179849,130.17973454989462
Aethopyga gouldiae,10007459.02624535,3.558316668129861,130.17973454989462
Aethopyga ignicauda,9888328.71704032,3.043214976663867,130.1889318416638
Aethopyga linaraborae,10541974.802568126,7.223887544687971,130.18846431412385
Aethopyga mystacalis,10537621.519861972,3.4029822128046656,130.18418914805181
Aethopyga nipalensis,9964841.311787976,3.033893199572928,130.18422613966848
Aethopyga primigenia,10537492.948972655,5.776953234319102,130.18578409107602
Aethopyga pulcherrima,10538265.834754225,4.183175480667509,130.17749867955604
Aethopyga saturata,10074199.60921344,3.070215619002971,130.18846431412385
Aethopyga shelleyi,10507681.12239956,3.3621265356318237,130.17749867955604
Aethopyga siparaja,9993063.669553153,3.039593611467388,130.18422613966848
Afropavo congensis,8914345.880178357,3.691883586310061,187.3917977873045
Agamia agami,9489356.767893588,3.894967564344979,167.34888417164498
Agapornis canus,9355978.476602802,3.5351673226241433,160.2097291131095
Agapornis fischeri,8996377.544104682,3.3574669107329496,160.19856022091685
Agapornis lilianae,9042510.994369872,3.3130888989850082,160.1982839681465
Agapornis nigrigenis,9060479.034421984,3.8801738989415715,160.1982839681465
Agapornis personatus,9033649.670716127,3.904217018742154,160.19842460346786
Agapornis pullarius,8920558.78190472,3.133124662698711,160.20706991874417
Agapornis roseicollis,9107613.326683316,4.838425114865076,160.2023906642924
Agapornis swindernianus,8905922.437364513,3.300598820130646,160.20706991874417
Agapornis taranta,9049293.833271358,3.195038864869556,160.20805142450126
Agelaioides badius,9693176.684497887,3.8896866853219048,126.67287625075437
Agelaius assimilis,9602387.963086626,3.1263935276767585,126.67605063303368
Agelaius humeralis,9572875.853259927,3.069237479961977,126.67566154580855
Agelaius phoeniceus,9885126.043810293,5.123300800660616,126.67608109723233
Agelaius tricolor,10195527.85769751,4.59215123836569,126.67605063303368
Agelaius xanthomus,9498288.988641994,3.0679955002115387,126.67566154580855
Agelastes meleagrides,9167524.66985208,3.399839041928036,187.607003370856
Agelastes niger,8915131.448676154,3.3205359322388732,187.607003370856
Agelasticus cyanopus,9587715.866161121,3.114018624103236,126.67208193865477
Agelasticus thilius,9776995.700449558,3.6175881256118907,126.67334593275066
Agelasticus xanthophthalmus,9624410.819696693,5.557594314970012,126.67208193865477
Aglaeactis aliciae,9676560.167285979,3.465007777666971,162.66736359726605
Aglaeactis castelnaudii,9671583.30333736,3.542300994049933,162.66699855407248
Aglaeactis cupripennis,9630116.919199811,3.4472834104873016,162.66754861111042
Aglaeactis pamela,9641859.30570679,3.8917718611787597,162.66699855407248
Aglaiocercus berlepschi,9480588.478457287,3.025062744695763,162.63401283277827
Aglaiocercus coelestis,9569639.797314841,3.8117928036869277,162.63401283277827
Agriornis albicauda,9684392.405067945,4.169030917673808,144.18067295522954
Agriornis lividus,10030472.204513386,4.917472672699617,144.1813597507126
Agriornis micropterus,9812756.600923683,4.351236290275704,144.18040308542308
Agriornis montanus,9856527.719977213,4.951810388675293,144.18040308542308
Agriornis murinus,9807205.12987776,3.5374602752686712,144.18233152044482
Ailuroedus buccoides,10540193.168771384,5.497356870612215,144.8404538261962
Ailuroedus crassirostris,10584102.98717153,3.4977150779328516,144.84121103245843
Ailuroedus melanotis,10549003.579531696,5.064619916855897,144.8404538261962
Aimophila notosticta,9857465.846799036,3.7903015924276153,126.64626381995333
Aimophila rufescens,9981907.114580743,3.544821827910234,126.64678689845648
Aimophila ruficeps,9943485.112954253,4.315673410210648,126.64626381995333
Aix galericulata,10178382.584760657,5.748728461703814,187.58173028999926
Aix sponsa,9715658.202038907,5.209268151152692,187.58173028999926
Alaemon alaudipes,9132433.034636116,5.362847442192647,130.58332331559944
Alaemon hamertoni,9205615.421234425,5.107814771355156,130.58332331559944
Alauda arvensis,9580661.319442969,6.150336806545764,130.48785818430642
Alauda gulgula,9800928.403556388,3.158714655354952,130.4869768437855
Alca torda,9437190.326313052,4.475132878597905,165.6143491398777
Alcedo atthis,9727709.918917738,5.249893042349763,164.01325859002995
Alcedo coerulescens,10537729.74960238,5.470970407657572,164.01325859002995
Alcedo euryzona,10537686.73558332,3.4148208133214624,164.01632478587635
Alcedo hercules,10027194.024544543,3.060587617743467,164.01319694931294
Alcedo meninting,10140699.409329979,3.2118261184294927,164.01319694931294
Alcedo quadribrachys,8928010.836380497,3.1367807011681923,164.01245462251248
Alcedo semitorquata,9033835.59610337,3.3359352391041117,164.01240161486484
Alcippe brunneicauda,10529943.74865774,6.364983598141027,129.2258681765024
Alcippe grotei,10316941.11623064,3.2921474774557193,129.22457052887464
Alcippe morrisonia,10147338.160213994,3.683893146496487,129.2262664920331
Alcippe nipalensis,9860211.929153193,3.29247653059234,129.2001992712736
Alcippe peracensis,10318643.521040492,3.934715659980528,129.2262664920331
Alcippe poioicephala,10046645.80915065,3.3556954836584496,128.92665907016985
Alcippe pyrrhoptera,10529875.135665925,4.961722252792563,129.22457052887464
Aleadryas rufinucha,10530612.602706613,5.417483938358873,134.65260508749955
Alectoris barbara,9206526.271905383,5.182330209131641,187.3814749038511
Alectoris chukar,9596688.798763987,5.3826492067040475,187.37766149289118
Alectoris graeca,9230123.949819138,4.394776486163093,187.3775812971937
Alectoris magna,9912580.147356274,5.760325670906384,187.3774606221772
Alectoris melanocephala,9168375.912547579,4.580929917310137,187.3814749038511
Alectoris philbyi,9129262.110172614,4.796137569001216,187.3774606221772
Alectoris rufa,9290299.23158128,4.28246285665375,187.37766149289118
Alectroenas madagascariensis,9375151.517972272,3.121111454101266,175.54258652584588
Alectroenas sganzini,9208064.722604413,4.186361604925805,175.54258652584588
Alectrurus risora,9637680.537530033,3.0718428533779205,144.25193226066963
Alectrurus tricolor,9510633.861105174,3.0234270485234864,144.25193226066963
Alectura lathami,10562930.437894175,3.434979805229778,188.80426589142917
